Last Name,First Name,ORCID,Affiliation,ISSN
Orsavová,Jana,https://orcid.org/0000-0003-0396-959X,Tomas Bata University in Zlín,1422-0067
Mišurcová,Ladislava,https://orcid.org/0000-0002-2943-3569,Tomas Bata University in Zlín,1422-0067
Ambrožová,Jarmila Vávra,NONE,Tomas Bata University in Zlín,1422-0067
Vícha,Robert,https://orcid.org/0000-0002-5229-9863,Tomas Bata University in Zlín,1422-0067
Mlček,Jiří­,https://orcid.org/0000-0002-5753-8560,Tomas Bata University in Zlín,1422-0067
Roland,Laura,NONE,University of Veterinary Medicine Hannover Foundation; University of Rostock,1422-0067
Grau,Michael,NONE,University of Veterinary Medicine Hannover Foundation; University of Rostock,1422-0067
Matena,Julia,NONE,University of Veterinary Medicine Hannover Foundation,1422-0067
Teske,Michael,https://orcid.org/0000-0002-2384-0534,University of Rostock,1422-0067
Gieseke,Matthias,NONE,Laser Zentrum Hannover,1422-0067
Kampmann,Andreas,https://orcid.org/0000-0003-1904-5965,Medizinische Hochschule Hannover,1422-0067
Beyerbach,Martin,NONE,University of Veterinary Medicine Hannover Foundation,1422-0067
Escobar,Hugo Murua,https://orcid.org/0000-0001-7123-7986,University of Veterinary Medicine Hannover Foundation; University of Rostock,1422-0067
Haferkamp,H.,NONE,Leibniz University Hannover,1422-0067
Gellrich,Nils‐Claudius,https://orcid.org/0000-0002-8800-4596,Medizinische Hochschule Hannover,1422-0067
Nölte,Ingo,https://orcid.org/0000-0003-4577-3739,University of Veterinary Medicine Hannover Foundation,1422-0067
Tsouko,Erminta,https://orcid.org/0000-0002-8700-5503,Agricultural University of Athens,1422-0067
Kourmentza,Konstantina,https://orcid.org/0000-0002-2750-8539,Universidade Nova de Lisboa; University of Lisbon,1422-0067
Ladakis,Dimitrios,https://orcid.org/0000-0002-5100-5528,Agricultural University of Athens,1422-0067
Kopsahelis,Nikolaos,https://orcid.org/0000-0002-1861-0208,Agricultural University of Athens,1422-0067
Mandala,Ioanna,https://orcid.org/0000-0003-2828-1329,Agricultural University of Athens,1422-0067
Papanikolaou,Séraphim,https://orcid.org/0000-0003-1307-7755,Agricultural University of Athens,1422-0067
Paloukis,Fotis,NONE,Foundation for Research and Technology Hellas,1422-0067
Alves,Vítor D.,https://orcid.org/0000-0002-4117-5582,University of Lisbon,1422-0067
Koutinas,Apostolis,https://orcid.org/0000-0001-5245-3157,Agricultural University of Athens,1422-0067
Rosenzweig,Derek H.,https://orcid.org/0000-0002-6593-8177,McGill University,1422-0067
Carelli,Eric,NONE,McGill University,1422-0067
Steffen,Thomas,https://orcid.org/0000-0001-9374-5703,McGill University,1422-0067
Jarzem,Peter,NONE,McGill University,1422-0067
Haglund,Lisbet,https://orcid.org/0000-0002-1288-2149,McGill University; Montreal General Hospital; McGill University Health Centre,1422-0067
Janke,Leandro,https://orcid.org/0000-0003-3285-4388,University of Rostock,1422-0067
Leite,Athaydes F.,NONE,Helmholtz Centre for Environmental Research,1422-0067
Nikolausz,Marcell,https://orcid.org/0000-0003-2858-9972,Helmholtz Centre for Environmental Research,1422-0067
Schmidt,Thomas,https://orcid.org/0000-0001-7259-415X,Deutsches Biomasseforschungszentrum,1422-0067
Liebetrau,Jan,NONE,Deutsches Biomasseforschungszentrum,1422-0067
Nelles,Michael,NONE,University of Rostock,1422-0067
Stinner,Walter,NONE,Deutsches Biomasseforschungszentrum,1422-0067
Diaconeasa,Zoriţa,https://orcid.org/0000-0002-5325-3859,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,1422-0067
Leopold,Loredana,https://orcid.org/0000-0002-8084-1998,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,1422-0067
Ruginǎ,Dumitriţa,https://orcid.org/0000-0003-4881-3273,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,1422-0067
Ayvaz,Hüseyin,https://orcid.org/0000-0001-9705-6921,Çanakkale Onsekiz Mart Üniversitesi,1422-0067
Socaciu,Carmen,https://orcid.org/0000-0002-7352-5057,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,1422-0067
Siddiqui,Manzer H.,https://orcid.org/0000-0003-2840-4608,King Saud University,1422-0067
Al-Khaishany,Mutahhar Y.,NONE,King Saud University,1422-0067
Al-Qutami,Mohammed A.,NONE,King Saud University,1422-0067
Al‐Whaibi,Mohamed H.,NONE,King Saud University,1422-0067
Grover,Anil,https://orcid.org/0000-0001-9999-6837,University of Delhi,1422-0067
Ali,Hayssam M.,https://orcid.org/0000-0001-6801-4263,King Saud University,1422-0067
Al-Wahibi,Mona Suliman,NONE,King Saud University,1422-0067
Bukhari,Najat A.,https://orcid.org/0000-0003-1609-4235,King Saud University,1422-0067
Leone,Alessandro,https://orcid.org/0000-0001-8063-8490,University of Milan,1422-0067
Fiorillo,Giovanni,NONE,University of Milan,1422-0067
Criscuoli,Franca,https://orcid.org/0009-0009-1445-332X,University of Milan,1422-0067
Ravasenghi,Stefano,NONE,University of Milan,1422-0067
Santagostini,Laura,https://orcid.org/0000-0002-1824-1617,University of Milan,1422-0067
Fico,Gelsomina,https://orcid.org/0000-0003-0179-3383,University of Milan,1422-0067
Spadafranca,Angela,NONE,University of Milan,1422-0067
Battezzati,Alberto,https://orcid.org/0000-0003-4134-0557,University of Milan,1422-0067
Schiraldi,Alberto,https://orcid.org/0000-0003-3585-6100,University of Milan,1422-0067
Pozzi,Federica,https://orcid.org/0000-0002-8174-2684,NONE,1422-0067
Lello,Sara di,NONE,NONE,1422-0067
Filippini,Sandro,NONE,Fondazione Italiana di Ricerca per la Sclerosi Laterale Amiotrofica,1422-0067
