Journal,ISSN,Article Title,Language,Year,Month,Day,Number of Pages,DOI,Number of Authors
International Journal of Molecular Sciences,14220067,Fatty Acids Composition of Vegetable Oils and Its Contribution to Dietary Energy Intake and Dependence of Cardiovascular Mortality on Dietary Intake of Fatty Acids,en,2015,6,5,20,https://doi.org/10.3390/ijms160612871,5
IEEE Access,21693536,A Survey of 5G Network: Architecture and Emerging Technologies,en,2015,1,1,27,https://doi.org/10.1109/access.2015.2461602,2
IEEE Access,21693536,A Survey of Sparse Representation: Algorithms and Applications,en,2015,1,1,41,https://doi.org/10.1109/access.2015.2430359,5
IEEE Access,21693536,Indoor Office Wideband Millimeter-Wave Propagation Measurements and Channel Models at 28 and 73 GHz for Ultra-Dense 5G Wireless Networks,en,2015,1,1,37,https://doi.org/10.1109/access.2015.2486778,4
IEEE Access,21693536,Software-Defined Network Function Virtualization: A Survey,en,2015,1,1,12,https://doi.org/10.1109/access.2015.2499271,2
IEEE Access,21693536,Ray Tracing for Radio Propagation Modeling: Principles and Applications,en,2015,1,1,12,https://doi.org/10.1109/access.2015.2453991,2
IEEE Access,21693536,Green Internet of Things for Smart World,en,2015,1,1,12,https://doi.org/10.1109/access.2015.2497312,4
IEEE Access,21693536,Detecting APT Malware Infections Based on Malicious DNS and Traffic Analysis,en,2015,1,1,11,https://doi.org/10.1109/access.2015.2458581,4
IEEE Access,21693536,Appliance Scheduling Optimization in Smart Home Networks,en,2015,1,1,15,https://doi.org/10.1109/access.2015.2496117,6
IEEE Access,21693536,Torque Saturation in Bipedal Robotic Walking Through Control Lyapunov Function-Based Quadratic Programs,en,2015,1,1,10,https://doi.org/10.1109/access.2015.2419630,4
IEEE Access,21693536,Artificial Intelligence-Based Techniques for Emerging Heterogeneous Network: State of the Arts Opportunities and Challenges,en,2015,1,1,13,https://doi.org/10.1109/access.2015.2467174,3
IEEE Access,21693536,Channel-level acceleration of deep face representations,en,2015,1,1,13,https://doi.org/10.1109/access.2015.2494536,2
IEEE Access,21693536,Review of Video and Image Defogging Algorithms and Related Studies on Image Restoration and Enhancement,en,2015,12,24,24,https://doi.org/10.1109/access.2015.2511558,4
