journal_name,ISSN,title,language,year,month,day,pages,doi,number_of_authors
IJMS,1422-0067,Effect of Greenhouse Gases Dissolved in Seawater,English,2015,12,30,18,https://doi.org/10.3390/ijms17010045,1
IJMS,1422-0067,Pharmacotherapy Treatment Options for Insomnia: A Primer for Clinicians,English,2015,12,30,11,https://doi.org/10.3390/ijms17010050,3
IJMS,1422-0067,Vaccination of Silver Sea Bream ( Sparus sarba ) against  Vibrio alginolyticus : Protective Evaluation of Different Vaccinating Modalities,English,2015,12,29,14,https://doi.org/10.3390/ijms17010040,3
IJMS,1422-0067,Redox-Responsive Porphyrin-Based Polysilsesquioxane Nanoparticles for Photodynamic Therapy of Cancer Cells,English,2015,12,31,16,https://doi.org/10.3390/ijms17010056,3
IJMS,1422-0067,Prediction of Protein Structural Class Based on Gapped-Dipeptides and a Recursive Feature Selection Approach,English,2015,12,24,9,https://doi.org/10.3390/ijms17010015,4
IJMS,1422-0067,Compartmentalization and Functionality of Nuclear Disorder: Intrinsic Disorder and Protein-Protein Interactions in Intra-Nuclear Compartments,English,2015,12,25,26,https://doi.org/10.3390/ijms17010024,4
IJMS,1422-0067,Novel Insights into Guide RNA 5-Nucleoside/Tide Binding by Human Argonaute 2,English,2015,12,24,14,https://doi.org/10.3390/ijms17010022,5
IJMS,1422-0067,The Flaxseed-Derived Lignan Phenolic Secoisolariciresinol Diglucoside (SDG) Protects Non-Malignant Lung Cells from Radiation Damage,English,2015,12,22,15,https://doi.org/10.3390/ijms17010007,5
IJMS,1422-0067,Interleukin-10 Protection against Lipopolysaccharide-Induced Neuro-Inflammation and Neurotoxicity in Ventral Mesencephalic Cultures,English,2015,12,28,15,https://doi.org/10.3390/ijms17010025,5
IJMS,1422-0067,Effects of Iron-Oxide Nanoparticle Surface Chemistry on Uptake Kinetics and Cytotoxicity in CHO-K1 Cells,English,2015,12,31,15,https://doi.org/10.3390/ijms17010054,5
IJMS,1422-0067,Verification of SNPs Associated with Growth Traits in Two Populations of Farmed Atlantic Salmon,English,2015,12,22,10,https://doi.org/10.3390/ijms17010005,6
IJMS,1422-0067,Astaxanthin a Carotenoid Stimulates Immune Responses by Enhancing IFN- and IL-2 Secretion in Primary Cultured Lymphocytes  in Vitro  and  ex Vivo,English,2015,12,29,10,https://doi.org/10.3390/ijms17010044,6
IJMS,1422-0067,Detection of Interactions between Proteins through Rotation Forest and Local Phase Quantization Descriptors,English,2015,12,24,11,https://doi.org/10.3390/ijms17010021,6
IJMS,1422-0067,The Development of Neuroendocrine Disturbances over Time: Longitudinal Findings in Patients after Traumatic Brain Injury and Subarachnoid Hemorrhage,English,2015,12,22,12,https://doi.org/10.3390/ijms17010002,6
IJMS,1422-0067,Fibroblast Growth Factor 21  Suppresses Adipogenesis in Pig Intramuscular Fat Cells,English,2015,12,23,14,https://doi.org/10.3390/ijms17010011,6
IJMS,1422-0067,Identification of the Avian  Pasteurella multocida phoP  Gene and Evaluation of the Effects of  phoP  Deletion on Virulence and Immunogenicity,English,2015,12,23,15,https://doi.org/10.3390/ijms17010012,6
